"Subject" "Activity" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z"
1 "WALKING_DOWNSTAIRS" 0.905800576071429 -0.330026645 -0.0941463448928571 -0.957048614642857 -0.945034861071429 -0.906579158214286
1 "WALKING_UPSTAIRS" 0.730741616570533 -0.0608347193134796 0.086953080507837 -0.960106153793103 -0.951687434539185 -0.927506230724138
2 "WALKING" 0.660782866688742 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.960033560165563 -0.945365383907285
3 "WALKING_DOWNSTAIRS" 0.707814353343108 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.9445645371261 -0.926966278211144
4 "WALKING" 0.706593043123028 0.112591195496986 0.164130896618297 -0.962636979274448 -0.941416800167192 -0.941403426072555
5 "WALKING_DOWNSTAIRS" 0.698153719072848 0.112313109736755 0.0921607197449904 -0.964629108807947 -0.939973777950331 -0.94207867884106
6 "WALKING_DOWNSTAIRS" 0.688702063569231 0.0162055455953846 0.0475199990906462 -0.958898709015385 -0.9509348864 -0.937910223507692
7 "WALKING_DOWNSTAIRS" 0.681289120844156 -0.0420221452496753 0.0342160711928604 -0.956538178587662 -0.955312554090909 -0.923304724090909
8 "SITTING" 0.668092950782123 -0.0520150292813408 0.0331423877814525 -0.942988336793296 -0.944310386480447 -0.90610826224581
8 "WALKING_DOWNSTAIRS" 0.61135636372549 0.174812965882353 0.172297590376696 -0.974031479117647 -0.955704837284314 -0.953141054215686
9 "WALKING" 0.670845545555556 -0.0467446999509028 0.104353653032743 -0.958784666180556 -0.949938115208333 -0.920554317815972
10 "WALKING" 0.642905730306122 -0.0740248544557823 0.0552047227876769 -0.965808126428571 -0.95452407255102 -0.938706428064626
11 "SITTING" 0.730526184936709 0.0527387028613924 0.140209861246835 -0.975394457689873 -0.957138770727848 -0.956812000411392
12 "WALKING" 0.69922245131875 0.029976775735 0.0330295544910625 -0.96738343446875 -0.9605729084375 -0.9468085636875
13 "WALKING" 0.740673476960199 -0.106657735422886 0.0149105014577114 -0.966599756965174 -0.954139544527363 -0.931027952238806
13 "WALKING_UPSTAIRS" 0.661059461587302 0.060921785015873 0.0911859822215079 -0.968334171428571 -0.952585444126984 -0.951011098809524
14 "SITTING" 0.672081224882353 -0.111701388781115 -0.161179728291022 -0.941245714736842 -0.942377305312693 -0.915927846160991
15 "SITTING" 0.688872511512195 0.102660491875 0.0372897701757012 -0.968733398628049 -0.956369493993902 -0.947240058048781
16 "SITTING" 0.700906130308743 -0.0605235993797814 0.0402075536234973 -0.971156432131148 -0.964727519945355 -0.945294028639344
17 "SITTING" 0.730643531509434 -0.0102539504528302 -0.0471562589226415 -0.974188029698113 -0.960680171396226 -0.951424468113208
17 "STANDING" 0.617363413009709 -0.0226900198058252 0.0580703614466019 -0.965554761165049 -0.95399856 -0.942902394563107
18 "WALKING_UPSTAIRS" 0.716863248351648 -0.01578199625 0.0899901746593407 -0.980138675796703 -0.969542030412088 -0.959434177692308
19 "STANDING" 0.475323016 0.0964052626666667 0.233011401195083 -0.958290447861111 -0.95925383425 -0.94180028475
20 "WALKING_UPSTAIRS" 0.628040637177966 -0.0373059475847458 0.10723075947935 -0.958201862627119 -0.952506793418079 -0.940981537502825
21 "STANDING" 0.645775957808824 -0.0750963071446078 0.0321851774362745 -0.965586634460784 -0.969330818455882 -0.953093993308823
22 "STANDING" 0.609390874922118 0.0315098683115265 0.23588786398215 -0.95850446411215 -0.957323093436449 -0.939081026109034
23 "STANDING" 0.662324737580645 0.0146209197354839 0.0518662466372043 -0.964393040295699 -0.960318907096774 -0.934236146612903
24 "WALKING_UPSTAIRS" 0.69498126808399 0.0729509702152231 0.0623227714146982 -0.975329699658793 -0.96089816664042 -0.955724566194226
25 "LAYING" 0.95220845 -0.16165490480597 0.0466790853059701 -0.967471422238806 -0.944533584477612 -0.912598794925373
25 "STANDING" 0.617567726023392 0.0880683538245614 0.276947228143363 -0.946597675643275 -0.892577652526316 -0.874429690055556
26 "LAYING" 0.615123534668367 0.10870478277551 0.234107010472449 -0.96781789994898 -0.959713562227041 -0.955643363545918
27 "LAYING" 0.627230079867021 0.032242387143617 0.14116869604876 -0.974620173404255 -0.972505174787234 -0.959200394414894
28 "LAYING" 0.62376789513089 -0.14757775521466 -0.0469931021049738 -0.973873328062827 -0.960365626256545 -0.946225637251309
29 "LAYING" 0.683067625610465 0.115489757911628 0.208215370043721 -0.973282885843023 -0.964643161017442 -0.941621790232558
30 "LAYING" 0.696858200678851 0.0512698188974987 0.184343178348037 -0.974319118563969 -0.952288292767624 -0.92943263464752
